TipoLinea,TipoeCF,eNCF,FechaVencimientoSecuencia,IndicadorNotaCredito,IndicadorEnvioDiferido,IndicadorMontoGravado,TipoIngresos,TipoPago,FechaLimitePago,TerminoPago,FormaPago1,MontoPago1,FormaPago2,MontoPago2,FormaPago3,MontoPago3,FormaPago4,MontoPago4,FormaPago5,MontoPago5,FormaPago6,MontoPago6,FormaPago7,MontoPago7,TipoCuentaPago,NumeroCuentaPago,BancoPago,FechaDesde,FechaHasta,TotalPaginas,RNCEmisor,RazonSocialEmisor,NombreComercial,Sucursal,DireccionEmisor,Municipio,Provincia,TelefonoEmisor1,TelefonoEmisor2,TelefonoEmisor3,CorreoEmisor,WebSite,ActividadEconomica,CodigoVendedor,NumeroFacturaInterna,NumeroPedidoInterno,ZonaVenta,RutaVenta,InformacionAdicionalEmisor,FechaEmision,RNCComprador,IdentificadorExtranjero,RazonSocialComprador,ContactoComprador,CorreoComprador,DireccionComprador,MunicipioComprador,ProvinciaComprador,PaisComprador,FechaEntrega,ContactoEntrega,DireccionEntrega,TelefonoAdicional,FechaOrdenCompra,NumeroOrdenCompra,CodigoInternoComprador,ResponsablePago,InformacionAdicionalComprador,FechaEmbarque,NumeroEmbarque,NumeroContenedor ,NumeroReferencia,NombrePuertoEmbarque,CondicionesEntrega,TotalFob,Seguro,Flete,OtrosGastos,TotalCif,RegimenAduanero,NombrePuertoSalida,NombrePuertoDesembarque,PesoBruto,PesoNeto,UnidadPesoBruto,UnidadPesoNeto,CantidadBulto,UnidadBulto,VolumenBulto,UnidadVolumen,ViaTransporte,PaisOrigen,DireccionDestino,PaisDestino,RNCIdentificacionCompaniaTransportista,NombreCompaniaTransportista,NumeroViaje,Conductor,DocumentoTransporte,Ficha,Placa,RutaTransporte,ZonaTransporte,NumeroAlbaran,MontoGravadoTotal,MontoGravadoI1,MontoGravadoI2,MontoGravadoI3,MontoExento,ITBIS1,ITBIS2,ITBIS3,TotalITBIS,TotalITBIS1,TotalITBIS2,TotalITBIS3,MontoImpuestoAdicional,TipoImpuesto1,TasaImpuestoAdicional1,MontoImpuestoSelectivoConsumoEspecifico1,MontoImpuestoSelectivoConsumoAdvalorem1,OtrosImpuestosAdicionales1,TipoImpuesto2,TasaImpuestoAdicional2,MontoImpuestoSelectivoConsumoEspecifico2,MontoImpuestoSelectivoConsumoAdvalorem2,OtrosImpuestosAdicionales2,TipoImpuesto3,TasaImpuestoAdicional3,MontoImpuestoSelectivoConsumoEspecifico3,MontoImpuestoSelectivoConsumoAdvalorem3,OtrosImpuestosAdicionales3,TipoImpuesto4,TasaImpuestoAdicional4,MontoImpuestoSelectivoConsumoEspecifico4,MontoImpuestoSelectivoConsumoAdvalorem4,OtrosImpuestosAdicionales4,MontoTotal,MontoNoFacturable,MontoPeriodo,SaldoAnterior,MontoAvancePago,ValorPagar,TotalITBISRetenido,TotalISRRetencion,TotalITBISPercepcion,TotalISRPercepcion,TipoMoneda,TipoCambio,MontoGravadoTotalOtraMoneda,MontoGravado1OtraMoneda,MontoGravado2OtraMoneda,MontoGravado3OtraMoneda,MontoExentoOtraMoneda,TotalITBISOtraMoneda,TotalITBIS1OtraMoneda,TotalITBIS2OtraMoneda,TotalITBIS3OtraMoneda,MontoImpuestoAdicionalOtraMoneda,TipoImpuestoOtraMoneda1,TasaImpuestoAdicionalOtraMoneda1,MontoImpuestoSelectivoConsumoEspecificoOtraMoneda1,MontoImpuestoSelectivoConsumoAdvaloremOtraMoneda1,OtrosImpuestosAdicionalesOtraMoneda1,TipoImpuestoOtraMoneda2,TasaImpuestoAdicionalOtraMoneda2,MontoImpuestoSelectivoConsumoEspecificoOtraMoneda2,MontoImpuestoSelectivoConsumoAdvaloremOtraMoneda2,OtrosImpuestosAdicionalesOtraMoneda2,TipoImpuestoOtraMoneda3,TasaImpuestoAdicionalOtraMoneda3,MontoImpuestoSelectivoConsumoEspecificoOtraMoneda3,MontoImpuestoSelectivoConsumoAdvaloremOtraMoneda3,OtrosImpuestosAdicionalesOtraMoneda3,TipoImpuestoOtraMoneda4,TasaImpuestoAdicionalOtraMoneda4,MontoImpuestoSelectivoConsumoEspecificoOtraMoneda4,MontoImpuestoSelectivoConsumoAdvaloremOtraMoneda4,OtrosImpuestosAdicionalesOtraMoneda4,MontoTotalOtraMoneda,NumeroLinea,TipoCodigo1,CodigoItem1,TipoCodigo2,CodigoItem2,TipoCodigo3,CodigoItem3,TipoCodigo4,CodigoItem4,TipoCodigo5,CodigoItem5,IndicadorFacturacion,IndicadorAgenteRetencionoPercepcion,MontoITBISRetenido,MontoISRRetenido,NombreItem,IndicadorBienoServicio,DescripcionItem,CantidadItem,UnidadMedida,CantidadReferencia,UnidadReferencia,Subcantidad1,CodigoSubcantidad1,Subcantidad2,CodigoSubcantidad2,Subcantidad3,CodigoSubcantidad3,Subcantidad4,CodigoSubcantidad4,Subcantidad5,CodigoSubcantidad5,GradosAlcohol,PrecioUnitarioReferencia,FechaElaboracion,FechaVencimientoItem,PesoNetoKilogramo,PesoNetoMineria,TipoAfiliacion,Liquidacion,PrecioUnitarioItem,DescuentoMonto,TipoSubDescuento1,SubDescuentoPorcentaje1,MontoSubDescuento1,TipoSubDescuento2,SubDescuentoPorcentaje2,MontoSubDescuento2,TipoSubDescuento3,SubDescuentoPorcentaje3,MontoSubDescuento3,TipoSubDescuento4,SubDescuentoPorcentaje4,MontoSubDescuento4,TipoSubDescuento5,SubDescuentoPorcentaje5,MontoSubDescuento5,RecargoMonto1,TipoSubRecargo1,SubRecargoPorcentaje1,MontosubRecargo1,TipoSubRecargo2,SubRecargoPorcentaje2,MontosubRecargo2,TipoSubRecargo3,SubRecargoPorcentaje3,MontosubRecargo3,TipoSubRecargo4,SubRecargoPorcentaje4,MontosubRecargo4,TipoSubRecargo5,SubRecargoPorcentaje5,MontosubRecargo5,TipoImpuesto1,TipoImpuesto2,PrecioOtraMoneda,DescuentoOtraMoneda,RecargoOtraMoneda,MontoItemOtraMoneda,MontoItem
E,32,E320000000002,,,,0,01,1,,,,,,,,,,,,,,,,,,,,,,,106014281,DOCUMENTOS ELECTRONICOS DE 02,DOCUMENTOS ELECTRONICOS DE 02,,"AVE. ISABEL AGUIAR NO. 269, ZONA INDUSTRIAL DE HERRERA",320301,320000,809-472-7676,809-491-1918,,DOCUMENTOSELECTRONICOSDE0612345678969789+9000000000000000000000000000001@123.COM,www.facturaelectronica.com,,AA0000000100000000010000000002000000000300000000050000000006,123456789016,123456789016,NORTE,,,01-04-2020,131880681,,DOCUMENTOS ELECTRONICOS DE 03,MARCOS LATIPLOL,MARCOSLATIPLOL@KKKK.COM,"CALLE JACINTO DE LA CONCHA FELIZ ESQUINA 27 DE FEBRERO,FRENTE A DOMINO",010100,010000,,10-10-2020,,,,10-11-2018,4500352238,10633440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152800.00,27625.00,125175.00,,82750.00,18,16,,25000.50,4972.50,20028.00,,,,,,,,,,,,,,,,,,,,,,,260550.50,,,,,260550.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,INTERNA,ASDFJKL,,,,,,,,,1,,,,ALIMENTOS ENTEROS,1,,5.00,6,,,,,,,,,,,,,,,,,,,,,1100.00,,,,,,,,,,,,,,,,,25.00,$,,25.00,,,,,,,,,,,,,,,,,,,5525.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,INTERNA,ASDFJKL,,,,,,,,,1,,,,ALIMENTOS ENTEROS,1,,5.00,6,,,,,,,,,,,,,,,,,,,,,1100.00,,,,,,,,,,,,,,,,,25.00,$,,25.00,,,,,,,,,,,,,,,,,,,5525.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,INTERNA,ASDFJKL,,,,,,,,,1,,,,ALIMENTOS ENTEROS,1,,5.00,6,,,,,,,,,,,,,,,,,,,,,1100.00,,,,,,,,,,,,,,,,,25.00,$,,25.00,,,,,,,,,,,,,,,,,,,5525.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,INTERNA,ASDFJKL,,,,,,,,,1,,,,ALIMENTOS ENTEROS,1,,5.00,6,,,,,,,,,,,,,,,,,,,,,1100.00,,,,,,,,,,,,,,,,,25.00,$,,25.00,,,,,,,,,,,,,,,,,,,5525.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,INTERNA,ASDFJKL,,,,,,,,,1,,,,ALIMENTOS ENTEROS,1,,5.00,6,,,,,,,,,,,,,,,,,,,,,1100.00,,,,,,,,,,,,,,,,,25.00,$,,25.00,,,,,,,,,,,,,,,,,,,5525.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,LECHE,1,,10.00,6,,,,,,,,,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,35.00,$,,35.00,,,,,,,,,,,,,,,,,,,25035.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,2,,,,LECHE,1,,10.00,6,,,,,,,,,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,35.00,$,,35.00,,,,,,,,,,,,,,,,,,,25035.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,2,,,,LECHE,1,,10.00,6,,,,,,,,,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,35.00,$,,35.00,,,,,,,,,,,,,,,,,,,25035.00
D,32,E320000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,2,,,,LECHE,1,,10.00,6,,,,,,,,,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,35.00,$,,35.00,,,,,,,,,,,,,,,,,,,25035.00
